run_id,label,model_tuple,suite_version,prompt_id,category,response_hash,output_length,json_valid,latency_ms,ok,error_class
b2-1789427356,b2,google/gemini-flash-lite-latest,v2.0.0,v1.0.0-logic,logic_reasoning,0f9a63f6f20c56b5b452da00282193bac6c24baf7d352e85d3d3f727393979c7,484,false,1140,true,
b2-1789427356,b2,google/gemini-flash-lite-latest,v2.0.0,v1.0.0-format,structured_output,e3a6d2506be95506f3252fc1bbb1a884446ed36d678f6157a29f306ceff22db1,151,true,1070,true,
b2-1789427356,b2,google/gemini-flash-lite-latest,v2.0.0,v1.0.0-refusal,refusal_tone,3f1fb12f30bd6d8eea0e23506de88e0da2fbe44dcba8f8cea597dd86853cebf6,627,false,1120,true,
b2-1789427356,b2,google/gemini-flash-lite-latest,v2.0.0,v1.1.0-toolcall,tool_calling,1637a77d814a0022f7f648947e3086e4d01e369924adfdff676f65bfd9942a01,335,false,923,true,
b2-1789427356,b2,google/gemini-flash-lite-latest,v2.0.0,v2.0.0-logic-01,logic_reasoning,85a39ab345d672ff8ca9b9c6876f3adcacf45ee7c1e2dbd2408fd338bd55e07e,3,false,662,true,
b2-1789427356,b2,google/gemini-flash-lite-latest,v2.0.0,v2.0.0-logic-02,logic_reasoning,f35db7626be42ab70f2dc8c545f35ab5ac3482b8a66b90aaf78644f50148adb7,186,false,1050,true,
b2-1789427356,b2,google/gemini-flash-lite-latest,v2.0.0,v2.0.0-logic-03,logic_reasoning,ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d,1,false,766,true,
b2-1789427356,b2,google/gemini-flash-lite-latest,v2.0.0,v2.0.0-logic-04,logic_reasoning,82033e3b1e7d33392fabfbcd6f5dde56f6ee2d96c0f04635e846c3cabedf6787,6,false,801,true,
b2-1789427356,b2,google/gemini-flash-lite-latest,v2.0.0,v2.0.0-logic-05,logic_reasoning,3fa7524e7a3f56400434dbba47f1467e2eb6a0f0ed045e3b4537008317cd7225,163,false,1072,true,
b2-1789427356,b2,google/gemini-flash-lite-latest,v2.0.0,v2.0.0-logic-06,logic_reasoning,f0a1f9aa94fe3dc55029b87f5b689162db81f675dfa4e455abbddc40b2ec11b2,355,false,942,true,
b2-1789427356,b2,google/gemini-flash-lite-latest,v2.0.0,v2.0.0-logic-07,logic_reasoning,63fcc2358b9578123088d4eb2d85e1c694f32a688bba2b0672c7b6cc99c8061e,220,false,932,true,
b2-1789427356,b2,google/gemini-flash-lite-latest,v2.0.0,v2.0.0-logic-08,logic_reasoning,dc953bc5e6b47b68f0e971c887f7284d1c93357e37e89e8e1ab3ca1127daa0ac,4,false,704,true,
b2-1789427356,b2,google/gemini-flash-lite-latest,v2.0.0,v2.0.0-format-01,structured_output,a011247e60229188d7d201ebe550d65ed10a0b44f680994131aed3373c6ab96f,85,true,791,true,
b2-1789427356,b2,google/gemini-flash-lite-latest,v2.0.0,v2.0.0-format-02,structured_output,bf1f1f5ea2290b50093a5784fbd2dbcc55d9715c4a1ba2bbcc345f2757b0a328,69,true,804,true,
b2-1789427356,b2,google/gemini-flash-lite-latest,v2.0.0,v2.0.0-format-03,structured_output,5c41722fd6c9df0066772f04a435bf28c1a1d10695de09a7f1188108f1a2a6e8,53,true,783,true,
