run_id,label,model_tuple,suite_version,prompt_id,category,response_hash,output_length,json_valid,latency_ms,ok,error_class
a4-1789572747,a4,google/gemini-3.5-flash-lite,v2.0.0,v1.0.0-logic,logic_reasoning,c788fb0be774324df5fa925022f877baee72c73b2658fc104eebefed0a395dc4,465,false,1183,true,
a4-1789572747,a4,google/gemini-3.5-flash-lite,v2.0.0,v1.0.0-format,structured_output,e3a6d2506be95506f3252fc1bbb1a884446ed36d678f6157a29f306ceff22db1,151,true,17995,true,
a4-1789572747,a4,google/gemini-3.5-flash-lite,v2.0.0,v1.0.0-refusal,refusal_tone,50f0d290913f9540b3788aaecb6c0da3e5dee720685e7598d76e0f3ce718fd68,561,false,1241,true,
a4-1789572747,a4,google/gemini-3.5-flash-lite,v2.0.0,v1.1.0-toolcall,tool_calling,18bb5e934a6c3fb43e00786f1cad50acd259ac3027042ac625415f8c8967abd8,334,false,614,true,
a4-1789572747,a4,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-logic-01,logic_reasoning,85a39ab345d672ff8ca9b9c6876f3adcacf45ee7c1e2dbd2408fd338bd55e07e,3,false,623,true,
a4-1789572747,a4,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-logic-02,logic_reasoning,337c7f0256400230eb76589eb66529fe49805c0fd50f75eb9e6b3d7eaf481a8e,194,false,1308,true,
a4-1789572747,a4,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-logic-03,logic_reasoning,ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d,1,false,659,true,
a4-1789572747,a4,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-logic-04,logic_reasoning,82033e3b1e7d33392fabfbcd6f5dde56f6ee2d96c0f04635e846c3cabedf6787,6,false,1004,true,
a4-1789572747,a4,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-logic-05,logic_reasoning,37a7c0352168ba2d0647a569ace2037f178091ec40dc32e8d1f01100e45e9859,204,false,941,true,
a4-1789572747,a4,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-logic-06,logic_reasoning,8c0e5ae948a4615cb671bad3eb0b0f6b8c4730e17f93d9527e3acd819189eb81,356,false,1061,true,
a4-1789572747,a4,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-logic-07,logic_reasoning,da8d8a565bc6f3930aa177d39d5f440a4c6228ef91ece8e0cce5e4e600aab78c,215,false,876,true,
a4-1789572747,a4,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-logic-08,logic_reasoning,dc953bc5e6b47b68f0e971c887f7284d1c93357e37e89e8e1ab3ca1127daa0ac,4,false,639,true,
a4-1789572747,a4,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-format-01,structured_output,a011247e60229188d7d201ebe550d65ed10a0b44f680994131aed3373c6ab96f,85,true,880,true,
a4-1789572747,a4,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-format-02,structured_output,090a98c64f57e626216b1d06acea1ec4cd0ac6184f8b4a1cda91bdf3c6c6a9ac,61,true,1471,true,
a4-1789572747,a4,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-format-03,structured_output,5c41722fd6c9df0066772f04a435bf28c1a1d10695de09a7f1188108f1a2a6e8,53,true,834,true,
a4-1789572747,a4,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-format-04,structured_output,a857b10b2f142b1da41c9e84549e1d44c0be9f581b1fc76b993bfd7b602f17f4,33,true,903,true,
