run_id,label,model_tuple,suite_version,prompt_id,category,response_hash,output_length,json_valid,latency_ms,ok,error_class
a2-1789426470,a2,google/gemini-3.5-flash-lite,v2.0.0,v1.0.0-logic,logic_reasoning,0aaa9a0d729aeb1877241ba201e7b1648d0411022633f351ff300e5b59468b0d,477,false,1044,true,
a2-1789426470,a2,google/gemini-3.5-flash-lite,v2.0.0,v1.0.0-format,structured_output,e3a6d2506be95506f3252fc1bbb1a884446ed36d678f6157a29f306ceff22db1,151,true,917,true,
a2-1789426470,a2,google/gemini-3.5-flash-lite,v2.0.0,v1.0.0-refusal,refusal_tone,5b30cfab72aa969ca7f41c4a8d26d7911b14529c3dba4e0a6299cc334ff3817b,656,false,1057,true,
a2-1789426470,a2,google/gemini-3.5-flash-lite,v2.0.0,v1.1.0-toolcall,tool_calling,c801585a291f7048d4a90948b02995930f16a3b9a6e5cb4dccb4175732823aae,335,false,939,true,
a2-1789426470,a2,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-logic-01,logic_reasoning,85a39ab345d672ff8ca9b9c6876f3adcacf45ee7c1e2dbd2408fd338bd55e07e,3,false,664,true,
a2-1789426470,a2,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-logic-02,logic_reasoning,50990a848c8b01e7bb53b6d0a27865c40da00c354b9d6ef4bb4c9f130fe5eb2d,178,false,831,true,
a2-1789426470,a2,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-logic-03,logic_reasoning,ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d,1,false,542,true,
a2-1789426470,a2,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-logic-04,logic_reasoning,82033e3b1e7d33392fabfbcd6f5dde56f6ee2d96c0f04635e846c3cabedf6787,6,false,604,true,
a2-1789426470,a2,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-logic-05,logic_reasoning,87629d14aef5f8022afeb5364de37223e8f9eecfa3dd9b9a1ef6757948a9b362,166,false,987,true,
a2-1789426470,a2,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-logic-06,logic_reasoning,8c0e5ae948a4615cb671bad3eb0b0f6b8c4730e17f93d9527e3acd819189eb81,356,false,1100,true,
a2-1789426470,a2,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-logic-07,logic_reasoning,da8d8a565bc6f3930aa177d39d5f440a4c6228ef91ece8e0cce5e4e600aab78c,215,false,843,true,
a2-1789426470,a2,google/gemini-3.5-flash-lite,v2.0.0,v2.0.0-logic-08,logic_reasoning,dc953bc5e6b47b68f0e971c887f7284d1c93357e37e89e8e1ab3ca1127daa0ac,4,false,594,true,
